act2000dx,"Action 2000 (Version 3.30XT, set 1)%1999%Amcoe%Casino%Suitable For All Ages"
act2000bx,"Action 2000 (Version 3.30XT, set 2)%1999%Amcoe%Casino%Suitable For All Ages"
act2000,Action 2000 (Version 3.5E Dual)%1999%Amcoe%Casino%Suitable For All Ages
act2000v1,Action 2000 (Version 3.5R Dual)%1999%Amcoe%Casino%Suitable For All Ages
act2000d1,"Action 2000 (Version 3.5R, set 1)%1999%Amcoe%Casino%Suitable For All Ages"
act2000b1,"Action 2000 (Version 3.5R, set 2)%1999%Amcoe%Casino%Suitable For All Ages"
afighter,Action Fighter (FD1089A 317-0018)%1986%Sega%Shoot-'Em-Up%Suitable For All Ages
actionhw,Action Hollywood%1995%TCH%Maze%Suitable For All Ages
aerofgt,Aero Fighters%1992%Video System Co.%Shoot-'Em-Up%Suitable For All Ages
aerfboot,Aero Fighters (bootleg set 1)%1992%bootleg%Shoot-'Em-Up%Suitable For All Ages
aerfboo2,Aero Fighters (bootleg set 2)%1992%bootleg%Shoot-'Em-Up%Suitable For All Ages
aerofgtb,Aero Fighters (Turbo Force hardware set 1)%1992%Video System Co.%Shoot-'Em-Up%Suitable For All Ages
aerofgtc,Aero Fighters (Turbo Force hardware set 2)%1992%Video System Co.%Shoot-'Em-Up%Suitable For All Ages
sonicwi2,Aero Fighters 2 / Sonic Wings 2%1994%Video System Co.%Shoot-'Em-Up%Suitable For All Ages
sonicwi3,Aero Fighters 3 / Sonic Wings 3%1995%Video System Co.%Shoot-'Em-Up%Suitable For All Ages
aerofgts,Aero Fighters Special (Taiwan)%1996%Video System Co.%Shoot-'Em-Up%Suitable For All Ages
aeroboto,Aeroboto%1984%Jaleco (Williams license)%Shoot-'Em-Up%Suitable For All Ages
aburner,After Burner (Japan)%1987%Sega%Shooter%Suitable For All Ages
mt_aftrb,"After Burner (Mega-Tech, SMS based)%1987%Sega%Shooter%Suitable For All Ages"
aburner2,After Burner II%1987%Sega%Shooter%Suitable For All Ages
aoh,Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07)%2001%Unico%Beat-'Em-Up%Life Like Violence Strong
superbon,Agent Super Bond (Scobra Hardware)%1985%Signatron USA%Maze%Suitable For All Ages
agentx1,"Agent X (prototype, rev 1)%1983%Atari%Shoot-'Em-Up%Suitable For All Ages"
agentx2,"Agent X (prototype, rev 2)%1983%Atari%Shoot-'Em-Up%Suitable For All Ages"
